ID;Geschlecht;Tonlage;Klang;Lautstärke;Sprache;Gesprächsorientierung;Anrede;alternative Keywords;Satzpause;Sprechgeschwindigkeit;Satzlänge;Ausdruck
1;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
2;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
3;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
4;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
5;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
6;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
7;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
8;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
9;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
10;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
11;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
12;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
13;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
14;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
15;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
16;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
17;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
18;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
19;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
20;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
21;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
22;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
23;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
24;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
25;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
26;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
27;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
28;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
29;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
30;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
31;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
32;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
33;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
34;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
35;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
36;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
37;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
38;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
39;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
40;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
41;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
42;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
43;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
44;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
45;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
46;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
47;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
48;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
49;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
50;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
51;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
52;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
53;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
54;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
55;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
56;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
57;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
58;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
59;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
60;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
61;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
62;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
63;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
64;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
65;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
66;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
67;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
68;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
69;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
70;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
71;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
72;männlich;tief;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
73;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
74;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
